program	rep	depth	noReads	percMutate	targMut	mutLen	refLen	refNs	refSnp	refIndel	conLen		Ns	snp	indel	elpTime	sysTime	UserTime	memKb	percCPU	seed	usedSeed	medakaModel	usedMedaka	usedMajcon		usedIvar	usedRacon	medakaPolish	ivarPolish	minLen	minDepth	fastq	schemeDir	scheme	schemeVer	prefix	conDef	conScaffoldBuilder	conStich
artic	10	30	2790	0	0	1700	1700	0	0	0	1700	74.7059	0	0   28.50	3.18	28.09	383632	109%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	0	0	1700	1700	0	0	0	1615	31.5789	0	3.1969   0.86	0.14	0.94	40832	126%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	0	0	1700	1700	0	0	0	1612	39.7022	0	0.6406   0.92	0.19	0.99	41048	127%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	0	0	1700	1700	0	0	0	1622	31.4427	0	0.6365   23.43	2.97	23.17	405904	111%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	0	0	1700	1700	0	0	0	1621	31.4621	0	0   22.41	3.05	22.11	408140	112%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	100	17	1700	1700	0	10	0	1700	74.7059	0	0   27.15	3.10	26.77	384460	110%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	100	17	1700	1700	0	10	0	1614	31.5985	0	5.7582   0.89	0.15	1.02	41068	131%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	100	17	1700	1700	0	10	0	1613	39.6776	0	1.2804   0.97	0.18	1.09	40824	130%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	100	17	1700	1700	0	10	0	   23.44	2.93	23.26	410400	111%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	100	17	1700	1700	0	10	0	   23.23	3.00	23.00	404700	111%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	200	34	1700	1700	0	20	0	1700	74.7059	0	0   28.91	3.23	28.43	385208	109%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	200	34	1700	1700	0	20	0	1615	47.0588	0	3.1969   0.90	0.13	1.05	41068	132%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	200	34	1700	1700	0	20	0	1612	55.2109	0	0.6406   0.95	0.17	1.09	41104	133%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	200	34	1700	1700	0	20	0	1622	31.4427	0	0.6365   22.25	2.96	22.04	405356	112%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	200	34	1700	1700	0	20	0	1621	31.4621	0	0   22.56	2.95	22.42	408764	112%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	500	85	1700	1700	0	50	0	1700	74.7059	0	0   27.66	3.37	27.04	384904	109%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	500	85	1700	1700	0	50	0	1328	57.2289	0	3.1323   0.85	0.19	0.91	41068	129%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	500	85	1700	1700	0	50	0	1326	67.1192	0	0.7843   0.90	0.15	1.02	41060	130%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	500	85	1700	1700	0	50	0	   22.15	2.93	21.95	404328	112%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	500	85	1700	1700	0	50	0	   22.30	2.93	22.08	406664	112%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	1000	170	1700	1700	0	0	0	1700	74.7059	0	0   28.56	3.24	28.08	384132	109%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	1000	170	1700	1700	0	0	0	1335	276.404	0	0   0.76	0.11	0.83	40816	124%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	1000	170	1700	1700	0	0	0	1335	276.404	0	0   0.82	0.12	0.89	41092	123%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	1000	170	1700	1700	0	0	0	   22.34	2.96	22.03	408936	111%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	1000	170	1700	1700	0	0	0	   22.41	2.93	22.14	407912	111%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	0	0	5700	5700	0	0	0	5700	168.597	0	0   47.13	3.25	46.84	387848	106%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	0	0	5700	5700	0	0	0	5621	476.784	0	0.34   1.55	0.40	1.86	41044	145%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	0	0	5700	5700	0	0	0	5616	423.433	0	0.3088   1.69	0.39	2.10	41084	147%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	0	0	5700	5700	0	0	0	1621	31.4621	0.6369	1.2739   24.88	3.07	25.01	405056	112%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	0	0	5700	5700	0	0	0	1620	31.4815	0	0.6373   23.27	3.42	23.13	406216	114%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	100	57	5700	5700	0	10	0	5700	168.597	0	0   47.69	3.30	47.35	385648	106%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	100	57	5700	5700	0	10	0	5619	423.207	0	0.6171   1.56	0.39	1.89	41024	146%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	100	57	5700	5700	0	10	0	5618	477.038	0	0   1.67	0.43	1.99	41036	145%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	100	57	5700	5700	0	10	0	1621	31.4621	0.6369	1.2739   23.25	3.16	23.28	408228	113%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	100	57	5700	5700	0	10	0	1620	31.4815	0	0.6373   24.04	3.19	24.11	406928	113%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	200	114	5700	5700	0	20	0	5700	168.597	0	0   47.95	3.40	47.50	387936	106%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	200	114	5700	5700	0	20	0	5616	423.433	0	0.9265   1.50	0.39	1.80	40812	145%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.5000	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
